SWC,DAY,DOY,TA,SW,TS,LE,GPP,RECO,P0
6.5,1,1,-18.43,178.166,-9.097,4.11875,0.312187,0.0858994,0
6.4,2,2,-19.676,178.788,-9.707,5.55856,0.399299,0.0877758,0
6.4,3,3,-20.211,179.469,-9.63,4.78131,0.365166,0.0945372,0
6.4,4,4,-19.988,180.208,-9.226,4.89112,0.388545,0.090329,0
6.4,5,5,-19.51,181.004,-9.158,4.4163,0.397376,0.0894469,0
6.4,6,6,-20.628,181.857,-9.428,4.8535,0.420799,0.091506,0
6.3,7,7,-21.335,182.767,-9.677,4.57879,0.529214,0.0987689,0
6.3,8,8,-18.197,183.733,-9.327,4.51731,0.502459,0.0919377,0
6.4,9,9,-18.501,184.755,-8.76,4.22114,0.546006,0.0919383,0
6.3,10,10,-22.21,185.832,-9.482,5.10281,0.522587,0.073636,0
6.3,11,11,-21.752,186.965,-10.282,3.74323,0.509678,0.0659999,0
6.2,12,12,-22.06,188.152,-10.636,5.18132,0.584953,0.081955,0
6.2,13,13,-22.085,189.392,-10.614,4.07549,0.496894,0.0888947,0
6.2,14,14,-20.139,190.687,-9.969,4.33336,0.511291,0.0853215,0
6.2,15,15,-17.557,192.034,-9.54,4.48771,0.483209,0.114532,0
6.3,16,16,-14.423,193.434,-8.765,2.73411,0.346872,0.136714,0
6.3,17,17,-14.236,194.886,-8.389,4.18494,0.239931,0.114806,0
6.4,18,18,-13.74,196.388,-7.415,5.11127,0.314717,0.083506,0
6.5,19,19,-13.996,197.94,-7.48,3.84594,0.293828,0.103647,0
6.5,20,20,-16.377,199.542,-7.545,5.27999,0.433693,0.152402,0
6.5,21,21,-12.426,201.194,-6.91,6.17616,0.448125,0.153576,0
6.5,22,22,-17.276,202.893,-7.789,4.66424,0.405196,0.139984,0
6.4,23,23,-18.395,204.639,-8.309,4.18867,0.381986,0.129537,0
6.4,24,24,-17.32,206.432,-7.849,3.60178,0.414771,0.131353,0
6.4,25,25,-16.247,208.271,-8.111,4.1201,0.274553,0.116399,0
6.3,26,26,-18.951,210.155,-8.915,14.5297,0.293785,0.0969988,0
6.2,27,27,-23.5,212.082,-10.455,6.45584,0.279217,0.092521,0
6.2,28,28,-23.45,214.053,-10.187,5.94141,0.205049,0.116988,0
6.2,29,29,-17.28,216.066,-9.595,4.20895,0.237874,0.150599,0
6.3,31,31,-18.731,220.213,-8.767,5.77324,0.253736,0.165771,0
6.3,32,32,-19.636,222.346,-8.666,4.59534,0.0685814,0.153535,0
6.3,33,33,-15.463,224.518,-8.122,4.70457,0.194529,0.182991,0
6.5,34,34,-15.901,226.726,-7.103,6.22282,0.150897,0.171185,0
6.5,35,35,-16.533,228.971,-7.324,4.25934,0.114421,0.175132,0
6.5,37,37,-16.106,233.565,-7.363,6.27735,0.06575,0.204474,0
6.6,38,38,-13.014,235.911,-6.58,4.64959,0.083356,0.243652,0
6.6,39,39,-12.959,238.29,-6.196,4.37119,0.282804,0.231061,0
6.6,41,41,-17.57,243.138,-7.166,11.1653,0.108591,0.184355,0
6.4,42,42,-19.516,245.605,-8.525,9.43149,0.161714,0.172655,0
6.4,43,43,-20.341,248.099,-8.343,9.91767,0.345302,0.187295,0
6.5,44,44,-17.761,250.62,-7.179,8.33126,0.334134,0.221274,0
6.6,45,45,-16.145,253.166,-6.461,6.64353,0.313284,0.223046,0
6.7,46,46,-12.687,255.736,-5.597,8.15839,0.436082,0.245253,0
6.7,47,47,-15.108,258.328,-6,5.66209,0.486913,0.240858,0
6.7,48,48,-15.504,260.943,-6.176,6.96359,0.530097,0.281299,0
6.8,49,49,-11.508,263.577,-4.972,7.42979,0.725592,0.320002,0
7,50,50,-8.127,266.23,-3.972,6.44589,0.696734,0.288959,0
7.3,51,51,-3.862,268.902,-2.696,3.51614,0.614826,0.365855,0
7.4,53,53,-13.142,274.295,-3.902,5.87322,0.507808,0.193388,0
7.1,54,54,-17.821,277.014,-5.253,9.08099,0.561176,0.201183,0
7.1,55,55,-11.666,279.746,-4.423,8.29848,0.413965,0.293784,0
7.6,57,57,-10.444,285.246,-3.541,14.6082,0.379623,0.362535,0
7.3,59,59,-14.078,290.787,-3.913,25.5285,0.439373,0.473331,0
7.3,60,60,-9.319,293.569,-3.82,21.4576,0.503879,0.658005,0
7.5,61,61,-9.435,296.358,-4.23,25.1271,0.592451,0.540005,0
7.6,62,62,-8.971,299.152,-4.372,32.0265,0.369895,0.506889,0
7.7,63,63,-9.09,301.952,-4.223,27.2217,0.256626,0.422309,0
7.9,64,64,-13.549,304.754,-4.043,13.4692,0.0852677,0.22844,0
7.6,65,65,-17.739,307.559,-4.285,35.0354,0.310917,0.244355,0
7.4,69,69,-10.621,318.781,-3.6,24.9382,0.420576,0.782502,0
7.6,71,71,-12.78,324.379,-3.63,34.5821,0.502806,0.62819,0
7.7,72,72,-10.957,327.171,-2.486,19.8951,0.332551,0.43386,0
8,74,74,-9.374,332.739,-2.165,21.3245,0.357556,0.689388,0
8.2,75,75,-8.63,335.512,-1.634,14.0394,0.256293,0.721217,0
